"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\BulletHolder.h", "C++", 7, 0, 1, 8
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\BulletQuadtree.cpp", "C++", 104, 3, 20, 127
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\BulletQuadtree.h", "C++", 31, 0, 10, 41
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Enemy.cpp", "C++", 190, 23, 30, 243
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Enemy.h", "C++", 54, 1, 9, 64
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\EnemyQuadtree.cpp", "C++", 100, 0, 18, 118
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\EnemyQuadtree.h", "C++", 31, 0, 10, 41
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Linux\LinuxHelper.cpp", "C++", 8, 3, 4, 15
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Linux\LinuxHelper.hpp", "C++", 8, 0, 3, 11
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\MacOS\MacHelper.cpp", "C++", 18, 6, 6, 30
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\MacOS\MacHelper.hpp", "C++", 8, 0, 3, 11
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Main.cpp", "C++", 588, 113, 135, 836
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Main.hpp", "C++", 15, 1, 6, 22
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\PCH.hpp", "C++", 54, 7, 12, 73
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\IPlatform.hpp", "C++", 14, 0, 3, 17
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\MacOS\MacOSPlatform.cpp", "C++", 42, 18, 9, 69
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\MacOS\MacOSPlatform.hpp", "C++", 15, 0, 5, 20
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Platform.hpp", "C++", 20, 0, 3, 23
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Unix\LinuxPlatform.cpp", "C++", 32, 16, 8, 56
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Unix\LinuxPlatform.hpp", "C++", 15, 0, 5, 20
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Win32\Resource.h", "C++", 6, 0, 4, 10
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Win32\WindowsPlatform.cpp", "C++", 118, 38, 33, 189
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Platform\Win32\WindowsPlatform.hpp", "C++", 21, 1, 8, 30
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Player.cpp", "C++", 122, 1, 27, 150
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Player.h", "C++", 51, 0, 11, 62
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Utility\FileSystem.hpp", "C++", 16, 1, 4, 21
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Utility\Types.hpp", "C++", 9, 0, 5, 14
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Win32\Icon.h", "C++", 4, 0, 4, 8
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Win32\WindowsHelper.cpp", "C++", 36, 18, 12, 66
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\Win32\WindowsHelper.hpp", "C++", 14, 0, 7, 21
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\bullet.cpp", "C++", 187, 5, 40, 232
"c:\Users\drunk\howtu_program\NTU-HOWTUSHOOT\src\bullet.h", "C++", 46, 0, 7, 53
"Total", "-", 1984, 255, 462, 2701
